prodgroup3,DLCP,n_lots,median_klot,robust_sigma,iqr_klot,p90_klot,p95_klot,median_recovery_rate,mean_recovery_rate,median_fail_rate,median_CA_pct,median_test_hours,median_lot_size,avg_hold_hours,median_klot_frac,base_Z,recovery_category,cost_per_retest_usd,cost_per_hold_usd,est_fail_per_lot,est_recovered_per_lot,benefit_per_retest_usd,net_ev_retest_usd,cost_efficiency_ratio,est_escape_cost_if_released_usd,cost_Z_adjustment,Z_score,threshold_raw,threshold,low_sample_warning,retest_economically_sound
BTLS8161,HP,2.0,0.0472,0.0029,0.0038,0.0502,0.0506,1.0,0.8628,0.0013,0.0312,0.1692,1050.0,0.0,0.0207,4.0,High (>80%),25.38,0.0,21.7,21.7,1084.12,1058.74,41.714,0.0,0.5,4.5,0.06,0.059983,True,True
BTLS8161,LP,2.0,0.017,0.0031,0.0042,0.0204,0.0208,0.8889,0.7904,0.0023,0.0625,0.1692,1050.0,0.0,0.0207,4.0,High (>80%),25.38,0.0,21.7,19.3,963.68,938.3,36.968,1204.46,0.5,4.5,0.031,0.031,True,True
BTLS8161,MP,2.0,0.0203,0.007,0.0095,0.0279,0.0288,1.0,0.9375,0.0012,0.0312,0.1692,1050.0,0.0,0.0207,4.0,High (>80%),25.38,0.0,21.7,21.7,1084.12,1058.74,41.714,0.0,0.5,4.5,0.052,0.051967,True,True
BTLS8161,UV,2.0,0.0129,0.001,0.0013,0.0139,0.0141,1.0,0.7209,0.0014,0.0312,0.1692,1050.0,0.0,0.0207,4.0,High (>80%),25.38,0.0,21.7,21.7,1084.12,1058.74,41.714,0.0,0.5,4.5,0.0172,0.017233,True,True
BTLS8161,UX,2.0,0.0302,0.0074,0.01,0.0382,0.0392,1.0,0.9,0.0029,0.0625,0.1692,1050.0,0.0,0.0207,4.0,High (>80%),25.38,0.0,21.7,21.7,1084.12,1058.74,41.714,0.0,0.5,4.5,0.0636,0.06365,True,True
CFD,UV,3.0,0.0803,0.0021,0.0029,0.0807,0.0808,0.9603,0.7226,0.0021,0.0625,0.0874,1722.0,0.0095,0.0803,4.0,High (>80%),13.11,0.71,138.3,132.8,6639.35,6626.24,505.257,2744.79,0.5,4.5,0.09,0.089967,True,True
CMLS102,UL,1.0,0.0941,0.0,0.0,0.0941,0.0941,1.0,0.9411,0.0038,0.0833,0.2246,2258.0,3.678,0.0927,4.0,High (>80%),33.69,275.85,209.3,209.3,10465.83,10432.14,309.674,0.0,0.5,4.5,0.0941,0.0941,True,True
CMLS102,UM,13.0,0.0913,0.041,0.0553,0.247,0.3091,0.9266,0.7607,0.0024,0.1071,0.2246,2258.0,3.678,0.0927,4.0,High (>80%),33.69,275.85,209.3,193.9,9697.11,9663.43,286.855,7687.15,0.5,4.5,0.2756,0.275633,False,True
DG512,MP,1.0,0.0767,0.0,0.0,0.0767,0.0767,0.96,0.89,0.0067,0.08,0.1604,253.5,0.0,0.0767,4.0,High (>80%),24.06,0.0,19.4,18.7,933.29,909.22,37.786,388.87,0.5,4.5,0.0767,0.0767,True,True
KBZ,UL,4.0,0.0578,0.0031,0.0042,0.0607,0.061,1.0,0.8391,0.0027,0.0455,0.1096,1721.0,0.1053,0.0578,4.0,High (>80%),16.43,7.9,99.6,99.6,4977.99,4961.56,301.901,0.0,0.5,4.5,0.072,0.072017,True,True
MDW,LP,63.0,0.034,0.0206,0.0279,0.0614,0.067,1.0,0.9345,0.0022,0.037,0.223,1342.0,0.3245,0.034,4.0,High (>80%),33.45,24.34,45.6,45.6,2281.4,2247.95,67.197,0.0,0.5,4.5,0.1268,0.126833,False,True
MDW,UL,26.0,0.0319,0.0134,0.0182,0.0486,0.0603,1.0,0.8325,0.0022,0.037,0.223,1342.0,0.3245,0.034,4.0,High (>80%),33.45,24.34,45.6,45.6,2281.4,2247.95,67.197,0.0,0.5,4.5,0.0924,0.0924,False,True
RKLS81,HP,18.0,0.0225,0.0077,0.0104,0.0395,0.0486,0.93,0.7277,0.0021,0.0625,0.3142,2307.0,0.074,0.0363,4.0,High (>80%),47.13,5.55,83.7,77.9,3894.1,3846.97,81.624,2931.04,0.5,4.5,0.0571,0.057083,False,True
