prodgroup3,DLCP,lot,lot_total_tested,functional_bin_N,fail_count,recover_count,fail_rate,recovery_rate,CA_pct
BTLS8161,HP,U450G425,1568,804,2,0,0.0013,0,0.0312
BTLS8161,HP,U450G425,1568,827,2,2,0.0013,1,0.0625
BTLS8161,HP,U450G425,1568,837,34,28,0.0217,0.82,0.25
BTLS8161,HP,U450G425,1568,838,1,0,0.0006,0,0.0312
BTLS8161,HP,U450G425,1568,1930,2,2,0.0013,1,0.0625
BTLS8161,HP,U450G425,1568,2721,10,10,0.0064,1,0.0312
BTLS8161,HP,U450G425,1568,9984,1,1,0.0006,1,0.0312
BTLS8161,HP,U450G425,1568,9987,1,1,0.0006,1,0.0312
BTLS8161,HP,U450G425,1568,9991,1,1,0.0006,1,0.0312
BTLS8161,HP,U450G474,1318,804,6,4,0.0046,0.67,0.0625
BTLS8161,HP,U450G474,1318,827,1,1,0.0008,1,0.0312
BTLS8161,HP,U450G474,1318,837,53,52,0.0402,0.98,0.2188
BTLS8161,HP,U450G474,1318,838,1,1,0.0008,1,0.0312
BTLS8161,HP,U450G474,1318,1939,1,1,0.0008,1,0.0312
BTLS8161,HP,U450G474,1318,9764,1,1,0.0008,1,0.0312
BTLS8161,HP,U450G474,1318,9766,2,2,0.0015,1,0.0625
BTLS8161,LP,U450G545,1568,827,7,7,0.0045,1,0.125
BTLS8161,LP,U450G545,1568,837,1,1,0.0006,1,0.0312
BTLS8161,LP,U450G545,1568,838,1,0,0.0006,0,0.0312
BTLS8161,LP,U450G545,1568,1930,2,2,0.0013,1,0.0312
BTLS8161,LP,U450G545,1568,1939,1,1,0.0006,1,0.0312
BTLS8161,LP,U450G675,1316,827,4,3,0.003,0.75,0.0625
BTLS8161,LP,U450G675,1316,837,5,4,0.0038,0.8,0.0938
BTLS8161,LP,U450G675,1316,1930,1,1,0.0008,1,0.0312
BTLS8161,LP,U450G675,1316,1939,2,1,0.0015,0.5,0.0625
BTLS8161,LP,U450G675,1316,9984,7,1,0.0053,0.14,0.0312
BTLS8161,MP,U450G629,1568,827,3,3,0.0019,1,0.0625
BTLS8161,MP,U450G629,1568,828,1,0,0.0006,0,0.0312
BTLS8161,MP,U450G629,1568,837,9,9,0.0057,1,0.0938
BTLS8161,MP,U450G629,1568,1939,1,1,0.0006,1,0.0312
BTLS8161,MP,U450G629,1568,9764,1,1,0.0006,1,0.0312
BTLS8161,MP,U450G629,1568,9765,1,1,0.0006,1,0.0312
BTLS8161,MP,U450G730,1317,827,1,1,0.0008,1,0.0312
BTLS8161,MP,U450G730,1317,837,6,6,0.0046,1,0.0625
BTLS8161,MP,U450G730,1317,1930,1,1,0.0008,1,0.0312
BTLS8161,MP,U450G730,1317,1939,2,2,0.0015,1,0.0938
BTLS8161,UV,U450G287,1050,827,1,1,0.001,1,0.0312
BTLS8161,UV,U450G287,1050,837,3,1,0.0029,0.33,0.0938
BTLS8161,UV,U450G287,1050,1930,5,3,0.0048,0.6,0.125
BTLS8161,UV,U450G287,1050,1939,1,0,0.001,0,0.0312
BTLS8161,UV,U450G843,700,827,1,1,0.0014,1,0.0312
BTLS8161,UV,U450G843,700,837,4,4,0.0057,1,0.0938
BTLS8161,UV,U450G843,700,1939,1,0,0.0014,0,0.0312
BTLS8161,UX,U450G319,1050,804,3,2,0.0029,0.67,0.0625
BTLS8161,UX,U450G319,1050,827,2,2,0.0019,1,0.0312
BTLS8161,UX,U450G319,1050,837,29,24,0.0276,0.83,0.3438
BTLS8161,UX,U450G319,1050,1930,1,1,0.001,1,0.0312
BTLS8161,UX,U450G319,1050,1939,1,1,0.001,1,0.0312
BTLS8161,UX,U450G319,1050,9764,1,1,0.001,1,0.0312
BTLS8161,UX,U450G784,700,827,2,2,0.0029,1,0.0625
BTLS8161,UX,U450G784,700,837,3,3,0.0043,1,0.0938
BTLS8161,UX,U450G784,700,1930,2,2,0.0029,1,0.0625
BTLS8161,UX,U450G784,700,1939,2,0,0.0029,0,0.0625
