product,mu,sigma,lot_count,avg_recovery_rate,total_fails,total_recovers,overall_recovery_rate,Z_score,avg_retest_time_per_lot,lambda,threshold_statistical,threshold_enhanced,threshold_final,threshold_current
BTLS8161,2.545526383074642,1.470725522706511,10,0.5753905823999972,322,202.0,0.6273291925465838,3.0,1.2546683229813667,0.5297266171418756,6.957702951194175,7.487429568336051,8.0,15.0
CFD,7.86262224222703,0.32394039191715723,3,0.3476067429555802,393,138.0,0.3511450381679389,2.0,2.4475419847328244,1.033363249981793,8.510503026061345,9.543866276043138,9.543866276043138,15.0
CMLS102,11.975729331693596,8.99810578757902,14,0.6604571498664863,3462,2063.0,0.5958983246678221,3.0,3.3396406701328716,1.41001133307897,38.97004669443065,40.38005802750962,35.0,15.0
DG512,7.6923076923076925,,1,0.8771929824561403,57,50.0,0.8771929824561403,4.5,1.3331228070175436,0.5628504536705137,,,,15.0
KBZ,5.7219136865745375,0.38321980755850366,4,0.656066441965999,381,250.0,0.6561679790026247,3.0,1.8305328083989503,0.7728591966490526,6.871573109250049,7.644432305899102,8.0,15.0
MDW,3.6151371397279384,1.9992823311407593,89,0.613260833406984,4297,2576.0,0.5994880148941122,3.0,1.4238002996603327,0.6011348994867849,9.612984133150217,10.214119032637003,10.214119032637003,15.0
RKLS81,4.149226387668683,3.118097780504719,73,0.6317589528045976,6565,4239.0,0.6456968773800457,3.0,1.788625358637023,0.7551656826033023,13.503519729182841,14.258685411786143,14.258685411786143,15.0
RPG8161,5.291220207666118,2.0997420532691717,4,0.12654445437351214,289,41.0,0.14186851211072665,2.0,1.9692525951557094,0.8314273154285937,9.49070431420446,10.322131629633054,10.322131629633054,15.0
RPL8161,7.996371792420621,5.108339676357801,60,0.6333908241254335,7411,4711.0,0.635676696802051,3.0,2.113862654612513,0.8924823338726005,23.321390821494024,24.213873155366624,24.213873155366624,15.0
RPR8161,3.725863702386115,4.6925215273812455,742,0.34918197476912205,20726,8059.0,0.3888352793592589,2.0,1.3362125189840592,0.5641549439792161,13.110906757148605,13.675061701127822,13.675061701127822,15.0
SDW,2.9756328300262647,1.041114021449998,20,0.6412408780219524,662,411.0,0.620845921450151,3.0,1.2666616314199397,0.5347902459839651,6.0989748943762585,6.633765140360223,8.0,15.0
SKA,7.5567539288434435,1.8363428659701853,4,0.3435096473373503,391,120.0,0.3069053708439898,2.0,2.1302378516624043,0.8993960158229489,11.229439660783815,12.128835676606764,12.128835676606764,15.0
SKB,8.022609284916417,2.8570101937615404,8,0.40234706806910214,1024,379.0,0.3701171875,2.0,2.3984531250000005,1.012637712300384,13.736629672439499,14.749267384739882,14.749267384739882,15.0
